GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
17031824122,140,17,031,16980,176,,,Census Tract 8241.22,6423,2371,6785,2254,6423,6785,5893,6378,69,45,9,12,286,215,4,2,71,46,91,85
17031824300,140,17,031,16980,176,,,Census Tract 8243,4814,1877,5297,1836,4814,5297,316,359,4269,4835,19,8,5,2,0,0,154,51,51,38
17031824400,140,17,031,16980,176,,,Census Tract 8244,2317,866,2265,709,2317,2265,1167,1162,957,1026,3,3,21,13,3,0,135,47,31,14
17031824503,140,17,031,16980,176,,,Census Tract 8245.03,6740,3068,6792,2822,6740,6792,6135,6431,170,45,3,4,158,141,0,0,155,76,119,95
17031824505,140,17,031,16980,176,,,Census Tract 8245.05,6869,2613,6967,2559,6869,6967,5848,6458,309,153,11,5,267,188,0,1,285,70,149,92
17031824506,140,17,031,16980,176,,,Census Tract 8245.06,7617,3201,7536,2896,7617,7536,6929,7019,184,109,6,13,201,188,1,0,182,103,114,104
17031824507,140,17,031,16980,176,,,Census Tract 8245.07,4214,1846,4035,1655,4214,4035,3787,3818,98,41,2,6,145,82,1,0,131,50,50,38
17031824601,140,17,031,16980,176,,,Census Tract 8246.01,4394,1720,4367,1632,4394,4367,3932,4140,119,43,17,11,63,46,0,0,155,67,108,60
17031824602,140,17,031,16980,176,,,Census Tract 8246.02,6545,2579,6359,2446,6545,6359,5491,6021,344,73,14,11,153,98,6,2,375,52,162,102
17031824701,140,17,031,16980,176,,,Census Tract 8247.01,3962,1423,3828,1409,3962,3828,2904,3377,380,149,7,5,82,98,3,1,441,128,145,69
17031824702,140,17,031,16980,176,,,Census Tract 8247.02,5607,2030,5382,2008,5607,5382,3680,4441,957,670,27,11,46,45,0,1,764,130,133,84
17031824800,140,17,031,16980,176,,,Census Tract 8248,7756,2422,6518,2173,7756,6518,3817,4022,1861,1208,40,23,49,17,6,8,1723,1050,260,190
17031824900,140,17,031,16980,176,,,Census Tract 8249,3079,1086,2805,896,3079,2805,748,953,2004,1690,2,9,17,18,1,0,244,84,63,51
