GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
39049008340,140,39,049,18140,198,,,Census Tract 83.40,5988,2180,5539,1967,5988,5539,4534,4385,967,847,27,17,179,164,0,1,111,23,170,102
39049008380,140,39,049,18140,198,,,Census Tract 83.80,5417,1580,3724,1384,5417,3724,4108,3388,990,184,14,10,73,57,0,2,101,16,131,67
39049008710,140,39,049,18140,198,,,Census Tract 87.10,2691,1209,2779,1232,2691,2779,375,464,2147,2151,13,7,64,76,0,1,14,25,78,55
39049008813,140,39,049,18140,198,,,Census Tract 88.13,2326,990,2398,990,2326,2398,307,294,1907,2027,4,3,15,7,0,0,31,10,62,53
39049008821,140,39,049,18140,198,,,Census Tract 88.21,2695,1206,2710,1178,2695,2710,2541,2645,48,18,6,5,17,12,0,0,30,6,53,24
39049009240,140,39,049,18140,198,,,Census Tract 92.40,1919,835,2003,835,1919,2003,1575,1892,192,33,10,10,8,29,0,2,82,9,52,28
39049009250,140,39,049,18140,198,,,Census Tract 92.50,1889,808,1950,847,1889,1950,1374,1676,343,177,15,1,24,42,1,0,69,12,63,38
39049009323,140,39,049,18140,198,,,Census Tract 93.23,3232,1472,3683,1569,3232,3683,725,1208,2059,2258,9,8,35,35,1,6,296,51,107,117
39049009331,140,39,049,18140,198,,,Census Tract 93.31,803,689,1441,826,803,1441,120,282,629,1000,2,7,9,14,0,4,31,82,12,52
39049009332,140,39,049,18140,198,,,Census Tract 93.32,3100,1510,2844,1215,3100,2844,544,497,2404,2225,6,9,26,19,0,0,22,24,98,70
39049009333,140,39,049,18140,198,,,Census Tract 93.33,2059,998,2232,1002,2059,2232,351,576,1495,1434,4,3,100,116,0,2,18,31,91,70
39049009334,140,39,049,18140,198,,,Census Tract 93.34,2810,1259,3090,1299,2810,3090,394,640,2184,2260,10,5,102,86,0,1,46,29,74,69
39049009336,140,39,049,18140,198,,,Census Tract 93.36,2738,1544,2555,1550,2738,2555,1155,1353,1360,1029,5,13,53,80,0,0,38,20,127,60
39049009362,140,39,049,18140,198,,,Census Tract 93.62,6436,2938,6638,2850,6436,6638,4712,5468,1424,861,7,15,96,152,8,4,53,46,136,90
39049009384,140,39,049,18140,198,,,Census Tract 93.84,2595,1247,2593,1248,2595,2593,1828,2299,582,183,10,7,22,29,1,0,44,18,108,57
39049009385,140,39,049,18140,198,,,Census Tract 93.85,3441,1689,3410,1483,3441,3410,2640,3061,601,218,7,11,79,76,0,1,17,14,97,29
39049009450,140,39,049,18140,198,,,Census Tract 94.50,8864,3445,5803,2229,8864,5803,7385,5342,1050,296,7,24,119,40,1,0,59,7,243,94
39049009497,140,39,049,18140,198,,,Census Tract 94.97,1625,692,1819,684,1625,1819,1546,1759,23,20,2,9,26,9,0,0,4,0,24,21
39049009751,140,39,049,18140,198,,,Census Tract 97.51,5032,1831,2836,989,5032,2836,4733,2727,128,54,9,15,67,12,3,0,21,4,71,24
39049009752,140,39,049,18140,198,,,Census Tract 97.52,6124,2196,4029,1450,6124,4029,5398,3774,311,109,23,4,123,47,3,1,67,22,199,72
39049009900,140,39,049,18140,198,,,Census Tract 99,1499,1016,1300,909,1499,1300,683,1026,561,160,7,2,54,62,1,1,131,13,62,36
39049010100,140,39,049,18140,198,,,Census Tract 101,1020,738,429,280,1020,429,412,24,528,376,3,1,38,0,0,1,13,1,26,22
39159050601,140,39,159,18140,198,,,Census Tract 506.01,4872,1691,3201,1156,4872,3201,3900,3087,94,51,15,6,783,13,2,1,14,8,64,32
