GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
42129801701,140,42,129,38300,430,,,Census Tract 8017.01,2326,990,2240,912,2326,2240,2232,2159,53,62,2,1,13,6,0,0,11,0,15,10
42129801702,140,42,129,38300,430,,,Census Tract 8017.02,4770,2004,4589,1840,4770,4589,4678,4549,36,22,6,1,16,3,0,0,8,4,26,5
42129801703,140,42,129,38300,430,,,Census Tract 8017.03,2632,1196,2745,1103,2632,2745,2596,2711,18,21,0,0,2,3,3,0,0,2,13,8
42129801900,140,42,129,38300,430,,,Census Tract 8019,6623,3275,6907,3105,6623,6907,6427,6761,79,83,13,5,25,4,1,0,17,2,61,48
42129802002,140,42,129,38300,430,,,Census Tract 8020.02,7611,3427,7259,3132,7611,7259,7231,7040,51,34,6,1,235,130,2,1,12,3,74,48
42129802101,140,42,129,38300,430,,,Census Tract 8021.01,4966,2150,9871,4036,4966,9871,4604,9192,52,185,4,15,253,397,0,0,6,23,47,59
42129802103,140,42,129,38300,430,,,Census Tract 8021.03,2328,953,2286,914,2328,2286,2138,2150,11,15,10,0,139,99,0,0,6,2,24,19
42129802200,140,42,129,38300,430,,,Census Tract 8022,3113,1629,3236,1631,3113,3236,2982,3180,50,22,0,1,36,10,0,0,9,6,36,17
42129802301,140,42,129,38300,430,,,Census Tract 8023.01,6075,2415,5947,2256,6075,5947,5978,5843,32,43,1,10,33,17,0,0,3,5,28,23
42129802304,140,42,129,38300,430,,,Census Tract 8023.04,6623,2423,6497,2169,6623,6497,6460,6399,37,17,8,0,49,39,1,2,19,11,49,26
42129802400,140,42,129,38300,430,,,Census Tract 8024,4369,1902,4335,1659,4369,4335,4287,4295,24,6,4,5,18,14,0,0,9,0,27,15
42129802500,140,42,129,38300,430,,,Census Tract 8025,2234,1117,2413,1115,2234,2413,2105,2331,69,42,3,4,1,4,0,2,3,3,53,27
42129802600,140,42,129,38300,430,,,Census Tract 8026,3627,1730,3920,1768,3627,3920,3208,3740,223,114,6,4,2,0,4,2,17,10,167,50
42129802700,140,42,129,38300,430,,,Census Tract 8027,2012,998,2010,979,2012,2010,1907,1964,64,32,3,1,10,4,0,0,0,0,28,7
42129803000,140,42,129,38300,430,,,Census Tract 8030,4819,2614,5233,2661,4819,5233,4669,5071,50,44,1,7,37,51,3,0,21,15,38,40
42129803301,140,42,129,38300,430,,,Census Tract 8033.01,5957,2680,12651,5613,5957,12651,5830,12305,38,184,6,4,33,79,0,3,11,12,39,61
42129803302,140,42,129,38300,430,,,Census Tract 8033.02,4137,1689,3583,1465,4137,3583,4056,3552,28,4,5,0,14,9,0,0,1,0,33,14
42129803400,140,42,129,38300,430,,,Census Tract 8034,3190,1245,2131,858,3190,2131,3072,2112,40,5,0,0,39,11,0,0,11,0,28,3
42129803501,140,42,129,38300,430,,,Census Tract 8035.01,4601,1852,4413,1568,4601,4413,4475,4359,25,16,3,3,68,17,0,0,0,1,30,15
42129803502,140,42,129,38300,430,,,Census Tract 8035.02,3986,1681,3825,1425,3986,3825,3913,3778,26,13,1,3,9,14,0,0,12,0,25,13
42129803600,140,42,129,38300,430,,,Census Tract 8036,1717,819,1928,813,1717,1928,1685,1888,9,10,0,3,10,14,0,5,0,0,13,5
42129803700,140,42,129,38300,430,,,Census Tract 8037,4166,1929,4195,1712,4166,4195,4049,4111,57,29,4,1,29,27,2,0,3,5,22,21
42129804600,140,42,129,38300,430,,,Census Tract 8046,3050,1593,4141,1601,3050,4141,2979,3631,25,481,3,9,5,7,0,0,2,1,36,10
42129804701,140,42,129,38300,430,,,Census Tract 8047.01,3147,1327,3317,1269,3147,3317,3089,3275,24,22,3,3,11,3,0,0,3,2,17,12
42129804802,140,42,129,38300,430,,,Census Tract 8048.02,6465,2729,6125,2477,6465,6125,6298,6005,51,61,6,7,47,22,1,1,6,5,56,21
42129805000,140,42,129,38300,430,,,Census Tract 8050,3803,1772,3980,1719,3803,3980,3751,3937,15,5,0,11,7,6,0,0,2,5,28,14
42129805100,140,42,129,38300,430,,,Census Tract 8051,2798,1277,2916,1236,2798,2916,2753,2892,7,7,0,0,11,4,0,0,4,3,23,10
42129805200,140,42,129,38300,430,,,Census Tract 8052,2105,1092,2359,1205,2105,2359,1663,2016,327,279,1,0,10,5,1,0,10,13,93,46
42129805500,140,42,129,38300,430,,,Census Tract 8055,3792,1955,4052,1991,3792,4052,3475,3846,231,169,3,2,11,6,0,0,16,2,56,27
42129805600,140,42,129,38300,430,,,Census Tract 8056,1971,979,8539,3623,1971,8539,1866,8340,52,114,1,12,15,25,0,2,4,8,33,37
42129805800,140,42,129,38300,430,,,Census Tract 8058,3315,1497,3276,1778,3315,3276,3162,3105,78,121,3,2,13,0,0,0,4,10,55,33
42129805901,140,42,129,38300,430,,,Census Tract 8059.01,1661,733,1722,740,1661,1722,1614,1683,25,21,0,2,10,6,0,0,1,1,11,6
42129806000,140,42,129,38300,430,,,Census Tract 8060,2633,1361,3034,1395,2633,3034,2538,2958,46,34,1,4,6,6,0,0,6,4,36,24
42129806100,140,42,129,38300,430,,,Census Tract 8061,3623,1655,3845,1616,3623,3845,3556,3780,27,40,3,1,5,2,0,0,2,2,30,20
42129806600,140,42,129,38300,430,,,Census Tract 8066,3180,1424,3068,1341,3180,3068,3097,3030,21,7,7,6,5,3,0,1,10,6,40,14
42003020300,140,42,003,38300,430,,,Census Tract 203,616,473,266,195,616,266,466,97,96,162,1,0,39,0,0,0,0,1,14,6
42003030500,140,42,003,38300,430,,,Census Tract 305,2256,1270,2721,1538,2256,2721,307,287,1861,2371,7,5,24,18,0,0,9,12,48,22
42003040500,140,42,003,38300,430,,,Census Tract 405,3694,1379,3010,1386,3694,3010,3089,2409,175,174,9,12,325,306,0,1,22,20,74,88
42003050100,140,42,003,38300,430,,,Census Tract 501,1707,1120,2143,1334,1707,2143,65,45,1610,2075,2,5,2,2,0,0,1,6,27,10
42003050600,140,42,003,38300,430,,,Census Tract 506,2057,1240,2246,1171,2057,2246,380,233,1593,1949,5,7,21,13,0,1,15,13,43,30
42003050900,140,42,003,38300,430,,,Census Tract 509,1202,746,2109,1049,1202,2109,48,36,1106,2023,8,12,3,0,0,1,1,10,36,27
42003051000,140,42,003,38300,430,,,Census Tract 510,2106,778,1346,1261,2106,1346,896,99,1074,1207,6,2,76,11,0,0,4,1,50,24
42003051100,140,42,003,38300,430,,,Census Tract 511,1122,731,1381,862,1122,1381,4,8,1108,1353,0,3,1,0,0,0,1,5,8,12
42003070300,140,42,003,38300,430,,,Census Tract 703,2197,1294,2224,1286,2197,2224,1763,1874,127,131,1,5,257,153,0,1,15,21,34,39
42003070500,140,42,003,38300,430,,,Census Tract 705,2997,1979,3138,1993,2997,3138,2288,2510,132,287,2,4,492,240,2,1,16,21,65,75
42003070600,140,42,003,38300,430,,,Census Tract 706,2082,1356,1977,1330,2082,1977,1724,1659,55,63,3,3,249,185,0,1,18,24,33,42
42003090300,140,42,003,38300,430,,,Census Tract 903,1629,979,1810,1019,1629,1810,1344,1615,139,97,0,5,82,57,1,0,19,6,44,30
42003101600,140,42,003,38300,430,,,Census Tract 1016,857,391,1879,855,857,1879,51,64,789,1755,0,22,2,1,0,0,1,11,14,26
42003101700,140,42,003,38300,430,,,Census Tract 1017,1465,817,2004,978,1465,2004,278,415,1067,1431,4,2,66,88,1,0,7,15,42,53
