GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
36067013900,140,36,067,45060,532,,,Census Tract 139,2726,1191,2703,1182,2726,2703,2508,2603,81,25,28,17,3,10,0,1,31,20,75,27
36067014200,140,36,067,45060,532,,,Census Tract 142,3837,1808,3873,1811,3837,3873,3431,3685,203,84,22,23,53,16,0,2,21,14,107,49
36067014300,140,36,067,45060,532,,,Census Tract 143,3084,1488,3178,1503,3084,3178,2793,3021,93,46,31,32,23,8,2,0,20,3,122,68
36067014700,140,36,067,45060,532,,,Census Tract 147,5946,2528,5313,2299,5946,5313,5046,4727,306,190,10,7,454,304,0,3,40,13,90,69
36067014800,140,36,067,45060,532,,,Census Tract 148,3101,1242,3076,1197,3101,3076,2822,2866,72,35,5,1,135,119,0,0,9,13,58,42
36067014900,140,36,067,45060,532,,,Census Tract 149,2195,666,1975,669,2195,1975,1762,1682,224,174,38,37,87,50,0,0,25,2,59,30
36067015000,140,36,067,45060,532,,,Census Tract 150,4460,1879,4263,1748,4460,4263,4178,4084,43,29,5,6,146,88,1,0,20,7,67,49
36067015201,140,36,067,45060,532,,,Census Tract 152.01,3190,1433,3272,1429,3190,3272,2852,3029,73,42,9,6,199,139,1,0,14,9,42,47
36067015202,140,36,067,45060,532,,,Census Tract 152.02,4337,1676,4252,1553,4337,4252,3856,3923,72,53,5,6,307,213,0,0,4,6,93,51
36067015203,140,36,067,45060,532,,,Census Tract 152.03,2596,1099,2302,899,2596,2302,2350,2159,38,21,2,1,174,94,0,0,3,1,29,26
36067015400,140,36,067,45060,532,,,Census Tract 154,5790,2418,5654,2198,5790,5654,5519,5450,70,37,35,25,80,77,1,1,12,11,73,53
36067015601,140,36,067,45060,532,,,Census Tract 156.01,3525,1411,3359,1293,3525,3359,3419,3256,15,5,18,12,37,39,1,0,3,1,32,46
36067015700,140,36,067,45060,532,,,Census Tract 157,7080,2627,6159,2272,7080,6159,6680,6009,56,23,20,13,198,59,4,0,23,17,99,38
36067015800,140,36,067,45060,532,,,Census Tract 158,4952,2099,4833,1925,4952,4833,4680,4605,26,18,104,112,33,28,4,5,13,6,92,59
36067016001,140,36,067,45060,532,,,Census Tract 160.01,3407,1369,3439,1276,3407,3439,3270,3332,25,24,41,27,20,12,1,4,15,4,35,36
36067016002,140,36,067,45060,532,,,Census Tract 160.02,2967,1067,2863,989,2967,2863,2863,2796,27,18,17,6,22,20,1,2,3,1,34,20
