GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
20209044302,140,20,209,28140,312,,,Census Tract 443.02,1870,814,1964,812,1870,1964,942,1183,693,643,10,19,29,9,0,0,122,59,74,51
20209044303,140,20,209,28140,312,,,Census Tract 443.03,2155,867,2500,880,2155,2500,631,723,1281,1678,8,4,79,7,0,0,84,42,72,46
20209044400,140,20,209,28140,312,,,Census Tract 444,2959,1172,3031,1181,2959,3031,1217,1480,1228,1297,24,18,139,43,11,1,229,86,111,106
20209044500,140,20,209,28140,312,,,Census Tract 445,2153,1024,2324,1055,2153,2324,870,993,964,1145,12,8,85,93,0,0,142,27,80,58
20209044601,140,20,209,28140,312,,,Census Tract 446.01,2729,1123,2922,1148,2729,2922,1960,2347,464,432,23,16,72,25,3,1,100,42,107,59
20209044602,140,20,209,28140,312,,,Census Tract 446.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20209044603,140,20,209,28140,312,,,Census Tract 446.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20209044702,140,20,209,28140,312,,,Census Tract 447.02,4340,1716,4149,1652,4340,4149,3760,3747,262,205,33,15,36,10,5,0,120,73,124,98
20209044703,140,20,209,28140,312,,,Census Tract 447.03,1842,694,1622,511,1842,1622,1501,1441,221,121,4,16,23,2,1,0,49,9,43,33
20209044704,140,20,209,28140,312,,,Census Tract 447.04,1581,634,1518,541,1581,1518,974,994,425,410,6,7,75,29,1,2,50,53,50,23
20209044805,140,20,209,28140,312,,,Census Tract 448.05,2576,981,2206,829,2576,2206,2195,1993,117,31,29,17,12,9,2,0,139,102,82,49
20209044806,140,20,209,28140,312,,,Census Tract 448.06,562,238,653,268,562,653,541,642,7,3,4,3,0,1,0,0,0,0,10,4
20209044900,140,20,209,28140,312,,,Census Tract 449,4201,1824,3959,1676,4201,3959,3492,3517,274,242,35,36,23,20,5,0,224,80,148,64
20209045200,140,20,209,28140,312,,,Census Tract 452,3980,2232,4543,2380,3980,4543,2513,3170,502,568,26,25,198,197,6,4,579,405,156,174
20005081900,140,20,005,11860,312,,,Census Tract 819,3126,1588,3258,1618,3126,3258,2797,2993,192,168,25,17,22,11,2,2,20,16,68,51
20045000100,140,20,045,29940,999,,,Census Tract 1,2847,1241,2547,1131,2847,2547,2359,2190,140,142,92,80,30,6,8,1,45,48,173,80
