GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
20029977300,140,20,029,99999,999,,,Census Tract 9773,3444,1537,3599,1566,3444,3599,3289,3525,39,22,9,10,12,13,1,0,34,7,60,22
20031966100,140,20,031,99999,999,,,Census Tract 9661,2703,1228,2738,1193,2703,2738,2635,2681,4,6,12,8,5,2,0,0,1,5,46,36
20033967600,140,20,033,99999,999,,,Census Tract 9676,1891,1044,1967,1088,1891,1967,1825,1927,6,1,4,5,5,1,2,4,25,12,24,17
20035493100,140,20,035,49060,556,,,Census Tract 4931,2729,1309,3030,1292,2729,3030,2608,2862,4,5,54,83,1,1,1,0,6,16,55,63
20035493200,140,20,035,49060,556,,,Census Tract 4932,3066,1326,3094,1233,3066,3094,2914,2972,2,9,54,58,6,8,0,1,18,11,72,35
20035493500,140,20,035,49060,556,,,Census Tract 4935,5191,1999,5166,1968,5191,5166,4400,4445,290,256,72,69,168,166,0,0,101,119,160,111
20035493600,140,20,035,49060,556,,,Census Tract 4936,4367,1922,4572,1880,4367,4572,3820,4149,116,70,55,34,153,175,0,2,68,39,155,103
20035493700,140,20,035,49060,556,,,Census Tract 4937,3601,1697,3517,1664,3601,3517,2866,3084,113,134,111,81,21,36,0,0,323,74,167,108
20035493800,140,20,035,49060,556,,,Census Tract 4938,4651,2092,4195,1973,4651,4195,3650,3628,241,285,104,105,42,22,6,1,409,37,199,117
20035493900,140,20,035,49060,556,,,Census Tract 4939,3433,1488,3502,1458,3433,3502,3157,3311,28,18,82,79,10,12,0,0,68,9,88,73
20035494100,140,20,035,49060,556,,,Census Tract 4941,1539,722,1635,781,1539,1635,1237,1370,10,31,44,78,6,8,9,0,169,78,64,70
20037956700,140,20,037,38260,999,,,Census Tract 9567,3727,1758,3878,1751,3727,3878,3601,3784,4,3,41,32,7,8,0,0,9,1,65,50
20037956800,140,20,037,38260,999,,,Census Tract 9568,3483,1510,3440,1478,3483,3440,3306,3342,52,30,28,18,9,4,1,1,24,6,63,39
20037956900,140,20,037,38260,999,,,Census Tract 9569,4252,1875,3785,1674,4252,3785,4067,3683,19,7,23,34,25,3,6,0,31,24,81,34
20037957000,140,20,037,38260,999,,,Census Tract 9570,3334,1476,3099,1414,3334,3099,3020,2952,73,32,21,20,17,18,1,6,103,40,99,31
20037957100,140,20,037,38260,999,,,Census Tract 9571,2710,1193,2703,1203,2710,2703,2308,2432,81,113,20,27,13,10,40,10,139,56,109,55
20037957200,140,20,037,38260,999,,,Census Tract 9572,2232,1032,2158,1047,2232,2158,1956,2037,60,29,14,19,6,3,1,13,116,19,79,38
20037957300,140,20,037,38260,999,,,Census Tract 9573,3178,1534,3126,1529,3178,3126,2852,2803,86,78,24,29,105,89,1,0,48,46,62,81
20037957500,140,20,037,38260,999,,,Census Tract 9575,2370,1306,2725,1508,2370,2725,1999,2316,92,107,27,49,40,37,15,1,128,118,69,97
20037957600,140,20,037,38260,999,,,Census Tract 9576,7457,3079,6683,2546,7457,6683,6620,5987,234,222,66,51,238,244,11,2,66,69,222,108
