id,year,exclude,Film,Rotten Tomatoes,Audience Score,Story,Genre,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profit,Proftitability
563,2009,,G.I. Joe: The Rise of Cobra ,33,62,Pursuit,Action,150.2,151.9,302.1,175,127.1,1.73
564,2009,y,Gamer ,29,43,Revenge,Action,20.53,14.53,35.1,12.5,22.6,2.81
565,2009,y,Ghosts of Girlfriends Past ,27,47,Love,Comedy,51.5,48.4,101.9,50,51.9,2.04
566,2009,y,Halloween II,20,45,Escape,Horror,31.7,5.8,37.7,15,22.7,2.51
567,2009,,Hannah Montana: The Movie ,44,66,Maturation,Comedy,79.58,70.52,150.09,35,115.09,4.29
568,2009,,Harry Potter and the Half-Blood Prince ,83,75,Quest,Adventure,302,632,934,250,684,3.74
569,2009,,He's Just Not That Into You ,42,60,Love,Comedy,94,84.5,178.4,25,153.4,7.14
570,2009,y,Hotel for Dogs ,46,57,Comedy,Comedy,73,45.2,118.2,35,83.2,3.38
571,2009,y,I Love You Beth Cooper ,14,38,Comedy,Comedy,14.8,0.94,15.7,18,-2.3,0.87
572,2009,y,"I Love You, Man ",83,72,Comedy,Comedy,71.4,20,91.4,30,61.4,3.05
573,2009,,Ice Age: Dawn of the Dinosaurs ,45,72,Quest,Animation,196.6,687.9,884.5,90,794.5,9.83
574,2009,y,Imagine That ,38,44,Comedy,Comedy,16.12,6.86,22.99,55,-32.01,0.42
575,2009,,Inglourious Basterds ,88,87,Underdog,Adventure,120.5,193,313.6,70,243.6,4.48
576,2009,,Inkheart ,39,51,Quest,Adventure,43.3,16.9,62.5,60,2.5,1.04
577,2009,,Invictus,75,74,Underdog,Biography,38.1,11.6,53.9,60,-6.1,0.9
578,2009,,It's Complicated ,56,63,Love,Comedy,112.73,105.4,218.1,75,143.1,2.91
579,2009,y,Jennifer's Body ,42,37,Monster Force,Comedy,16.2,2.6,18.8,16,2.8,1.18
580,2009,y,Julie & Julia ,74,69,Underdog,Biography,73,43.9,118.6,40,78.6,2.97
581,2009,,Knowing ,33,50,Escape,Drama,146.3,37,183.3,50,133.3,3.67
582,2009,y,Land of the Lost ,26,38,Journey And Return,Drama,1.5,66.4,68.8,100,-31.2,0.69
583,2009,y,Law Abiding Citizen ,25,77,Revenge,Crime,73.4,29.1,102.5,53,49.5,1.93
584,2009,y,Love Happens ,18,40,Love,Drama,22.9,11.2,33.1,18,15.1,1.84
585,2009,y,Michael Jackson's This Is It ,81,82,Tragedy,Documentary,72.1,180,252.01,60,192.01,4.2
586,2009,,Monsters Vs. Aliens ,72,65,Monster Force,Animation,198.4,183.2,381.5,175,206.5,2.18
587,2009,,My Bloody Valentine 3-D ,57,48,Pursuit,Crime,38.6,60.8,100,14,86,7.14
588,2009,y,My Life in Ruins ,9,43,Comedy,Comedy,8.67,9.34,18.01,17,1.01,1.06
589,2009,y,My Sister's Keeper ,47,73,Escape,Drama,71.4,20,91.7,27.5,64.2,3.33
590,2009,y,Next Day Air ,21,27,Comedy,Action,10,0,10,3,7,3.33
591,2009,,Night at the Museum: Battle of the Smithsonian ,43,60,Quest,Action,177.2,235.8,413,150,263,2.75
592,2009,y,Nine ,37,40,Discovery,Drama,19.2,10.3,29.5,80,-50.5,0.37
593,2009,y,Ninja Assassin ,25,57,Revenge,Action,27.7,21.6,49.8,50,-0.2,1
594,2009,y,Not Easily Broken ,34,66,Love,Drama,10.6,0.14,10.7,5,5.7,2.14
595,2009,,Notorious,50,66,Tragedy,Biography,20.4,19,40.5,19,21.5,2.13
596,2009,y,Observe and Report ,51,40,Comedy,Comedy,24,0.87,24.9,18,6.9,1.38
597,2009,,Obsessed ,20,50,Rivalry,Drama,41,32.4,73.8,20,53.8,3.69
598,2009,y,Old Dogs ,5,49,Comedy,Comedy,9.4,48.1,57.6,35,22.6,1.65
599,2009,y,Orphan ,55,65,Escape,Horror,68.3,5.5,75.8,30,45.8,2.53
600,2009,y,Pandorum ,28,49,Monster Force,Action,10.3,6.7,17,40,-23,0.43
601,2009,,Paranormal Activity ,82,56,Monster Force,Horror,107.92,63.41,171.3,0.015,171.285,11420
602,2009,,Paul Blart: Mall Cop ,33,50,Comedy,Action,80,103.3,183.3,26,157.3,7.05
