id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profit,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
66,2010,,MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.8,9.32,10,-0.68,93.20%,4,,,,
67,2010,,Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,15.55,42.15,20,22.15,210.75%,11,,,,
68,2010,,Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,49.71,83.36,50,33.36,166.72%,11.6,,,,
69,2010,,Megamind,Paramount,72,73,Transformation,Animation,3944,9743,144.67,173.46,321.88,130,191.88,247.60%,46.02,,,,
70,2010,y,Morning Glory,Independent,54,54,Comedy,Comedy,2518,3655,31.01,27.78,58.78,40,18.78,146.95%,9.2,,,,
71,2010,,Mother and Child,Independent,79,61,Transformation,Drama,4,,1.11,3.76,4.87,7,-2.13,69.57%,0.43,,,,
72,2010,y,My Soul to Take,Relativity Media,9,29,Monster Force,Horror,2572,4605,14.74,5.09,19.83,25,-5.17,79.32%,6.8,,,,
73,2010,,Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.25,35,58.25,266.43%,8.4,,,,
74,2010,y,Never Let Me Go,Independent,70,70,Tragedy,Drama,4,,2.43,7.3,9.45,15,-5.55,63.00%,0.11,,,,
75,2010,y,Our Family Wedding,Independent,14,49,Love,Comedy,1605,4754,20.26,1.11,21.36,,21.36,,7.6,,,,
76,2010,,Paranormal Activity 2,Paramount,59,51,Monster Force,Horror,3216,12649,84.75,92.75,177.51,3,174.51,5917.00%,40.67,,,http://boxofficemojo.com/movies/?id=paranormalactivity2.htm,
77,2010,,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,131.5,238.42%,31.2,,,,
78,2010,,Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25,54.78,79.78,24,55.78,332.42%,10.1,,,http://www.the-numbers.com/movies/2009/ABSTV.php,
79,2010,y,Please Give,Sony,88,62,Comedy,Comedy,,,4.03,0.23,4.26,3,1.26,142.00%,0.1,,,,
80,2010,,Predators,Fox,64,52,Monster Force,Action,2669,9277,52,74.74,126.74,40,86.74,316.85%,24.8,,,,
81,2010,,Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,3646,90.76,244.39,335.15,200,135.15,167.58%,30,,,,
82,2010,,Red,Summit,71,72,Rivalry,Action,3255,6686,89.84,74.58,164.42,58,106.42,283.48%,21.8,,,,
83,2010,,Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,39.85,349.06%,8,,,,
84,2010,,Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,-13.59,57.53%,6.1,,,,
85,2010,,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,236.22,493.70%,26.7,,,,
86,2010,,Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,121.67,160.84%,36,,,,
87,2010,,Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,183.5,266.82%,36,,,,
88,2010,,Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.8,122.51,20,102.51,612.55%,22.53,,,,
89,2010,,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60,-12.42,79.30%,10.6,,,,
90,2010,,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,188.35,288.35%,31,,,,
91,2010,,She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.8,48.81,20,28.81,244.05%,9.8,,,,
92,2010,,Shrek Forever After,Paramount,57,64,Journey And Return,Animation,4359,16251,238.74,510.06,748.8,165,583.8,453.82%,70.8,,,,
93,2010,,Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,214.8,368.50%,41,,,,
94,2010,,Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10,45.26,552.60%,11.69,,,,
95,2010,,Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.7,5.06,15,-9.94,33.73%,0.09,,,,
96,2010,,Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.75,159.15,30,129.15,530.50%,15.8,,,http://www.the-numbers.com/movies/2009/ABSTV.php,
97,2010,,Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.4,22,-13.6,38.18%,0.075,,,,
98,2010,,Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32,36.16,213.00%,20.5,,,,
99,2010,,Tangled,Disney,89,88,Love,Animation,3603,13535,175.78,179.3,355.08,260,95.08,136.57%,48.77,,,,
100,2010,,The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100,77.03,177.03%,25.7,,,,
101,2010,,The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46,20,26,230.00%,13.1,,,,
102,2010,,The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.6,77.1,35,42.1,220.29%,12.2,,,,
103,2010,,The Book of Eli        ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80,73.45,191.81%,32.7,,,,
104,2010,,The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40,96.32,340.80%,20.7,,,http://boxofficemojo.com/movies,
105,2010,,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104,311,415.68,155,260.68,268.18%,24,,,,
106,2010,y,The Company Men,Independent,66,56,Discovery,Drama,,,,,,,0,,,,,,
107,2010,,The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20,34.59,272.95%,16.07,,,http://boxofficemojo.com/movies/?id=crazies.htm,
108,2010,,The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,192.47,334.72%,34.8,,,,
109,2010,,The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,104.19,516.76%,12,"Sup. Actor, Sup. Actress",,,
110,2010,,The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,15.02,133.38%,2,,,,
111,2010,,The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,-5.59,6.83%,0.3,,,,
112,2010,,The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,-3.59,64.10%,0.51,,,http://www.imdb.com/title/tt1285309/,
113,2010,,The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,319.13,897.83%,55.7,,,,
114,2010,,The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,25.37,734.25%,3.5,,,,
115,2010,,The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,-9.42,27.54%,11.1,,,,
116,2010,,The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,230.2,1634.67%,4.4,"Best Picture, Director,  Actor, Orig. Screenplay",,,
117,2010,,The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,169.12,212.75%,40.3,,,,
118,2010,,The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,64.66,3692.22%,20.4,,,,
119,2010,,The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,69.04,445.20%,16,,,,
120,2010,,The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,4.38,117.52%,9.4,,,,
121,2010,,The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,20.6,41.75,30,11.75,139.17%,6.54,,,,
122,2010,,The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,70.27,170.27%,35.5,,,,
123,2010,,The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,-5.32,46.80%,0.8,,,,
124,2010,,The Social Network,Sony,96,89,Rags To Riches,Biography,2771,8100,94.08,105.52,199.6,50,149.6,399.20%,22.4,,,,
125,2010,,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,65.28,143.52%,17.6,,,,
126,2010,y,The Spy Next Door,Relativity Media,13,46,Rivalry,Action,2924,3326,24.31,19.27,43.58,,43.58,,9.7,,,,
127,2010,,The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19,28.73,251.21%,8.4,,,,
128,2010,,The Tourist,Sony,20,44,,Action,2756,5977,67,210,278.34,100,178.34,278.34%,16,,,,
129,2010,,The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37,107.55,390.68%,23.8,,,,
130,2010,,"The Twilight Saga: Eclipse	",Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68,625.58,1019.97%,64.8,,,,
131,2010,,The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,-10.21,93.19%,31.5,,,,
132,2010,y,Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.34,112.36,48,64.36,234.08%,14,,,,
133,2010,,Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415,648.16,1063.16,200,863.16,531.58%,110.3,,,,
134,2010,,Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.2,291.41,170,121.41,171.42%,44.03,,,,
135,2010,,True Grit,Paramount,96,86,Quest,Action,3047,8149,171,79,250.93,38,212.93,660.34%,24,,,,
136,2010,,Unstoppable,Fox,86,73,Rescue,Action,3207,7075,80.02,66,146.02,100,46.02,146.02%,22.69,,,,
137,2010,,Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,164.49,416.33%,56.2,,,,
138,2010,,Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20,59.98,399.90%,12.2,,,,
139,2010,,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70,60.63,186.61%,19,,,,
140,2010,y,When in Rome,Disney,15,44,Love,Comedy,2456,5029,32.68,10.36,43.04,,43.04,,12.3,,,,
141,2010,,Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,40.67,303.35%,29.3,,,,
142,2010,,Winter's Bone,Independent,94,73,Quest,Drama,?,,6.25,1.54,7.8,2,5.8,390.00%,0.8,,,,
143,2010,,Yogi Bear,,14,36,Comedy,Comedy,3515,4669,100,101,201.58,80,121.58,251.98%,16.4,,,http://boxofficemojo.com/movies/?id=yogibear.htm,
144,2010,,You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.7,6.16,31.86,20,11.86,159.30%,8.4,,,,
145,2010,,You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,23.42,26.66,22,4.66,121.18%,0.16,,,,
146,2010,,Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18,1.62,109.00%,6.9,,,,
147,2011,,The Tree Of Life,Independant,84,61,Discovery,Drama,4,93230,13.3,41,54.3,32,22.3,169.70%,0.37,,,http://boxofficemojo.com/movies/?id=treeoflife.htm,
148,2011,,Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83,139.18,17,122.18,818.69%,5.83,,,http://boxofficemojo.com/movies/?id=midnightinparis.htm,
149,2011,,The Descendants,20th Century Fox,89,88,Discovery,Drama,29,41038,24.54,?,24.54,20,4.54,122.71%,4.38,,,http://www.timryansreelhawaii.com/?p=2387,
150,2011,,Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Adventure,4375,38672,381.01,947.1,1328.11,125,1203.11,1062.49%,169.19,,,http://boxofficemojo.com/movies/?id=harrypotter72.htm,
151,2011,,Twilight: Breaking Dawn,Independant,26,68,Love,Romance,4061,34012,260.8,374,634.8,110,524.8,577.09%,138.12,,,http://boxofficemojo.com/movies/?id=breakingdawn.htm,
152,2011,,Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,1123.2,195,928.2,576.00%,97.85,,,http://boxofficemojo.com/movies/?id=transformers3.htm,
153,2011,,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327,581.46,80,501.46,726.83%,85.95,,,http://boxofficemojo.com/movies/?id=hangover2.htm,
154,2011,,Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,501.13,5.01,,,,,
155,2011,,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.8,1043.87,250,793.87,417.55%,90.15,,,http://boxofficemojo.com/movies/?id=piratesofthecaribbean4.htm,
156,2011,,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.4,140,228.4,263.15%,65.06,,,http://boxofficemojo.com/movies/?id=captainamerica.htm,
157,2011,,Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,298.51,299.01%,65.72,,,http://boxofficemojo.com/movies/?id=thor.htm,
158,2011,,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.4,551.85,200,351.85,275.93%,66.14,,,http://boxofficemojo.com/movies/?id=cars2.htm,
159,2011,,Paranormal Activity 3,Independant,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.9,5,196.9,4037.94%,52.57,,,http://boxofficemojo.com/movies/?id=paranormalactivity3.htm,
160,2011,,X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,193.62,221.01%,55.1,,,http://boxofficemojo.com/movies/?id=xmenfirstclass.htm,
161,2011,,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.7,304.52,481.23,93,388.23,517.45%,54.81,,,http://boxofficemojo.com/movies/?id=riseoftheapes.htm,
162,2011,,Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.6,103.25,219.85,200,19.85,109.93%,53.17,,,http://boxofficemojo.com/movies/?id=greenlantern.htm,
163,2011,,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,513.02,442.02%,47.66,,,http://boxofficemojo.com/movies/?id=kungfupanda2.htm,
164,2011,,Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127,132.71,259.71,50,209.71,519.43%,35.45,,,http://boxofficemojo.com/movies/?id=super8.htm,
165,2011,,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,120.95,291.99%,37.54,,,http://boxofficemojo.com/movies/?id=ihop.htm,
166,2011,,The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,452.16,511.05%,35.61,,,http://boxofficemojo.com/movies/?id=smurfs.htm,
167,2011,,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,141.82,302.60%,35.57,,,http://boxofficemojo.com/movies/?id=battlelosangeles.htm,
168,2011,,Bad Teacher,Independant,44,38,Comedy,Comedy,3049,10365,100.29,115.9,216.2,20,196.2,1080.98%,31.6,,,http://boxofficemojo.com/movies/?id=badteacher.htm,
169,2011,,Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102,182.49,75,107.49,243.31%,32.21,,,http://boxofficemojo.com/movies/?id=warofgods.htm,
170,2011,,The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.1,199.32,25,174.32,797.30%,26.04,,,http://boxofficemojo.com/movies/?id=help2011.htm,
171,2011,,Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90,394.63,538.48%,39.23,,,http://boxofficemojo.com/movies/?id=rio.htm,
172,2011,,Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.9,245.15,135,110.15,181.60%,38.08,,,http://boxofficemojo.com/movies/?id=rango.htm,
173,2011,,Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,11.82,107.25%,36.43,,,http://boxofficemojo.com/movies/?id=cowboysandaliens.htm,
174,2011,,The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.8,129,227.8,120,107.8,189.83%,33.5,,,http://boxofficemojo.com/movies/?id=greenhornet.htm,
175,2011,,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.1,209.64,35,174.64,598.97%,28.3,,,http://boxofficemojo.com/movies/?id=horriblebosses.htm,
176,2011,,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,255.88,887.33%,26.25,,,http://boxofficemojo.com/movies/?id=wiigapatow.htm,
177,2011,,Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,0,,11.36,,,,
178,2011,,Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.3,284.39,130,154.39,218.76%,34.08,,,http://boxofficemojo.com/movies/?id=pussinboots12.htm,
179,2011,,Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,134.95,268.68%,30.51,,,http://boxofficemojo.com/movies/?id=thepretendwife.htm,
180,2011,,The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.8,72.43,45,27.43,160.95%,29.24,,,http://boxofficemojo.com/movies/?id=themuppets.htm,
